modulo,nombre,calificacion_porcentaje,puntaje_bruto,estado,prioridad_repaso,fuente
1,Metabolismo celular e interacción ligando-Rc,80.6,"84,6/105,0",Aprobado,media,2024-10-05 - Módulo 1_ Metabolismo celular e interacción ligando-Rc.pdf
2,Compartimientos biológicos y transporte,88.3,,Aprobado - Sobresaliente,baja-media,2024-10-05 - Módulo 2_ Compartimientos biológicos y transporte.pdf
3,Equilibrios iónicos,55.0,,Aprobado - Correcto,alta,2024-10-05 - Módulo 3_ Equilibrios ionicos.pdf
